Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,S071-004,LMG_23826,25MDFML003374-2A,MOD1_WNTSBCO4,10_6_2001,716,CS-42,CFSAN145334,CRZK,bq,CFSAN080751,1011-04,CFSAN142785,CS6162,CH43,CH65,CH44,CFSAN141446,CH84,CFSAN080747,25MDFML003369-4A,CS291,KubGAU_B-268,CFSAN129441,cro810A3,cro1489B1,HA18074,CFSAN141625,25MDFML004503-1A,25MDFML003369-3A,CH45,SC16,MOD1_LR736,CE52,CFSAN140976,CFSAN138565,CFSAN135223,S054-001,S053-001
group_2843,,Carnitine monooxygenase reductase subunit,39,39,1,1,6047,,,,255,255,255,COBAIANA_00156,NCDGGIKE_01163,KEJBGJNJ_01829,JELDIHCN_01291,PBHEHNGA_03366,DALMCLCA_00450,ONIJJAOC_00991,OLEGOONE_03159,CMJCGDBJ_01129,FDIPHMPI_02657,GAFMEKNJ_01859,JJCAEOCL_00504,FIMNDECN_00539,BOLFLKJN_01728,MONHGDDE_01526,HENDCIDF_00522,BGHDJHLL_03742,MLDDBGFK_00587,OBCFPDNM_04182,PDLMEAGH_02044,MIEBPKLG_02685,FAKIMOAG_03079,AAJLDHNL_00928,HFELHBKN_00712,FPIHAPOB_02475,PLNCNKBH_03376,IMMFCMMB_00282,BDMJLJKB_01699,MDDFFGJE_01699,ADGPNKPL_02218,MFAJDMJN_03470,HOGJFGMH_03744,BFJHMAPM_00023,JFGMPIEF_01446,DOHFHPBA_02916,OAICLECK_01623,HGGDPEND_02045,PGNFGNII_02981,PDCFMNHJ_02638
ibaG,ibaG,Acid stress protein IbaG,39,39,1,1,6040,,,,258,258,258,COBAIANA_03927,NCDGGIKE_03505,KEJBGJNJ_02997,JELDIHCN_01099,PBHEHNGA_02662,DALMCLCA_01020,ONIJJAOC_01375,OLEGOONE_03397,CMJCGDBJ_03103,FDIPHMPI_00378,GAFMEKNJ_00357,JJCAEOCL_00746,FIMNDECN_02673,BOLFLKJN_03139,MONHGDDE_01037,HENDCIDF_00777,BGHDJHLL_00079,MLDDBGFK_02846,OBCFPDNM_01425,PDLMEAGH_01589,MIEBPKLG_02035,FAKIMOAG_01819,AAJLDHNL_02676,HFELHBKN_01690,FPIHAPOB_00804,PLNCNKBH_02061,IMMFCMMB_02975,BDMJLJKB_02590,MDDFFGJE_00397,ADGPNKPL_03485,MFAJDMJN_00079,HOGJFGMH_01785,BFJHMAPM_03381,JFGMPIEF_00499,DOHFHPBA_02264,OAICLECK_02646,HGGDPEND_03161,PGNFGNII_01638,PDCFMNHJ_01167
rpmA,rpmA,50S ribosomal protein L27,39,39,1,1,6039,,,,258,258,258,COBAIANA_03922,NCDGGIKE_03500,KEJBGJNJ_02992,JELDIHCN_01094,PBHEHNGA_02657,DALMCLCA_01015,ONIJJAOC_01370,OLEGOONE_03392,CMJCGDBJ_03108,FDIPHMPI_00383,GAFMEKNJ_00352,JJCAEOCL_00741,FIMNDECN_02668,BOLFLKJN_03144,MONHGDDE_01032,HENDCIDF_00772,BGHDJHLL_00084,MLDDBGFK_02841,OBCFPDNM_01430,PDLMEAGH_01584,MIEBPKLG_02030,FAKIMOAG_01814,AAJLDHNL_02681,HFELHBKN_01685,FPIHAPOB_00809,PLNCNKBH_02056,IMMFCMMB_02970,BDMJLJKB_02585,MDDFFGJE_00392,ADGPNKPL_03480,MFAJDMJN_00084,HOGJFGMH_01790,BFJHMAPM_03386,JFGMPIEF_00504,DOHFHPBA_02259,OAICLECK_02641,HGGDPEND_03156,PGNFGNII_01633,PDCFMNHJ_01162
yfhL,yfhL,Ferredoxin YfhL,39,39,1,1,6030,,,,261,261,261,COBAIANA_03214,NCDGGIKE_00852,KEJBGJNJ_02082,JELDIHCN_01544,PBHEHNGA_02109,DALMCLCA_00029,ONIJJAOC_01248,OLEGOONE_02138,CMJCGDBJ_02360,FDIPHMPI_02937,GAFMEKNJ_02813,JJCAEOCL_01316,FIMNDECN_00918,BOLFLKJN_01995,MONHGDDE_03983,HENDCIDF_01387,BGHDJHLL_03488,MLDDBGFK_00841,OBCFPDNM_01248,PDLMEAGH_02529,MIEBPKLG_02938,FAKIMOAG_03790,AAJLDHNL_00664,HFELHBKN_00389,FPIHAPOB_02810,PLNCNKBH_01474,IMMFCMMB_00029,BDMJLJKB_03336,MDDFFGJE_02952,ADGPNKPL_03059,MFAJDMJN_03724,HOGJFGMH_02806,BFJHMAPM_00276,JFGMPIEF_01186,DOHFHPBA_03799,OAICLECK_02207,HGGDPEND_03337,PGNFGNII_03591,PDCFMNHJ_03469
mcbA,mcbA,putative protein McbA,39,39,1,1,6029,,,,261,261,261,COBAIANA_01918,NCDGGIKE_02590,KEJBGJNJ_00531,JELDIHCN_00429,PBHEHNGA_00030,DALMCLCA_00177,ONIJJAOC_02373,OLEGOONE_00703,CMJCGDBJ_03912,FDIPHMPI_01271,GAFMEKNJ_02384,JJCAEOCL_03403,FIMNDECN_00489,BOLFLKJN_00411,MONHGDDE_01958,HENDCIDF_00200,BGHDJHLL_02542,MLDDBGFK_03484,OBCFPDNM_00410,PDLMEAGH_02202,MIEBPKLG_00644,FAKIMOAG_00939,AAJLDHNL_01670,HFELHBKN_02911,FPIHAPOB_03268,PLNCNKBH_01882,IMMFCMMB_01451,BDMJLJKB_02941,MDDFFGJE_04033,ADGPNKPL_00641,MFAJDMJN_02438,HOGJFGMH_01123,BFJHMAPM_01631,JFGMPIEF_03815,DOHFHPBA_00822,OAICLECK_02344,HGGDPEND_02169,PGNFGNII_03480,PDCFMNHJ_03361
iraP_2,iraP_2,Anti-adapter protein IraP,39,39,1,1,6028,,,,261,261,261,COBAIANA_01540,NCDGGIKE_02942,KEJBGJNJ_00891,JELDIHCN_01630,PBHEHNGA_00398,DALMCLCA_00749,ONIJJAOC_03481,OLEGOONE_01692,CMJCGDBJ_01222,FDIPHMPI_00897,GAFMEKNJ_03872,JJCAEOCL_02225,FIMNDECN_00106,BOLFLKJN_00936,MONHGDDE_03599,HENDCIDF_03717,BGHDJHLL_03850,MLDDBGFK_02168,OBCFPDNM_03391,PDLMEAGH_00767,MIEBPKLG_01005,FAKIMOAG_02877,AAJLDHNL_02001,HFELHBKN_01201,FPIHAPOB_03590,PLNCNKBH_02920,IMMFCMMB_03605,BDMJLJKB_01487,MDDFFGJE_01291,ADGPNKPL_01001,MFAJDMJN_03854,HOGJFGMH_03589,BFJHMAPM_04060,JFGMPIEF_03421,DOHFHPBA_01189,OAICLECK_01288,HGGDPEND_01807,PGNFGNII_01968,PDCFMNHJ_02977
bhsA_4,bhsA_4,Multiple stress resistance protein BhsA,39,39,1,1,6021,,,,264,264,264,COBAIANA_03980,NCDGGIKE_03539,KEJBGJNJ_03036,JELDIHCN_01138,PBHEHNGA_02701,DALMCLCA_01059,ONIJJAOC_01790,OLEGOONE_03448,CMJCGDBJ_01787,FDIPHMPI_00338,GAFMEKNJ_04215,JJCAEOCL_00785,FIMNDECN_02712,BOLFLKJN_03264,MONHGDDE_01076,HENDCIDF_00816,BGHDJHLL_00040,MLDDBGFK_02885,OBCFPDNM_01386,PDLMEAGH_04013,MIEBPKLG_02074,FAKIMOAG_01858,AAJLDHNL_02637,HFELHBKN_02114,FPIHAPOB_00685,PLNCNKBH_02590,IMMFCMMB_03014,BDMJLJKB_02629,MDDFFGJE_00436,ADGPNKPL_03524,MFAJDMJN_00040,HOGJFGMH_01746,BFJHMAPM_03342,JFGMPIEF_04142,DOHFHPBA_02303,OAICLECK_02685,HGGDPEND_03200,PGNFGNII_01677,PDCFMNHJ_01206
group_2823,,hypothetical protein,39,39,1,1,6020,,,,264,264,264,COBAIANA_03925,NCDGGIKE_03503,KEJBGJNJ_02995,JELDIHCN_01097,PBHEHNGA_02660,DALMCLCA_01018,ONIJJAOC_01373,OLEGOONE_03395,CMJCGDBJ_03105,FDIPHMPI_00380,GAFMEKNJ_00355,JJCAEOCL_00744,FIMNDECN_02671,BOLFLKJN_03141,MONHGDDE_01035,HENDCIDF_00775,BGHDJHLL_00081,MLDDBGFK_02844,OBCFPDNM_01427,PDLMEAGH_01587,MIEBPKLG_02033,FAKIMOAG_01817,AAJLDHNL_02678,HFELHBKN_01688,FPIHAPOB_00806,PLNCNKBH_02059,IMMFCMMB_02973,BDMJLJKB_02588,MDDFFGJE_00395,ADGPNKPL_03483,MFAJDMJN_00081,HOGJFGMH_01787,BFJHMAPM_03383,JFGMPIEF_00501,DOHFHPBA_02262,OAICLECK_02644,HGGDPEND_03159,PGNFGNII_01636,PDCFMNHJ_01165
group_2822,,hypothetical protein,39,39,1,1,6019,,,,264,264,264,COBAIANA_01766,NCDGGIKE_02738,KEJBGJNJ_00680,JELDIHCN_00578,PBHEHNGA_00179,DALMCLCA_02192,ONIJJAOC_02523,OLEGOONE_00551,CMJCGDBJ_00551,FDIPHMPI_01121,GAFMEKNJ_00953,JJCAEOCL_02998,FIMNDECN_00339,BOLFLKJN_00563,MONHGDDE_02107,HENDCIDF_00051,BGHDJHLL_02691,MLDDBGFK_01949,OBCFPDNM_00559,PDLMEAGH_01128,MIEBPKLG_00793,FAKIMOAG_00783,AAJLDHNL_01521,HFELHBKN_00138,FPIHAPOB_00238,PLNCNKBH_03058,IMMFCMMB_01302,BDMJLJKB_01268,MDDFFGJE_01079,ADGPNKPL_00790,MFAJDMJN_02289,HOGJFGMH_01270,BFJHMAPM_01780,JFGMPIEF_03665,DOHFHPBA_00971,OAICLECK_01070,HGGDPEND_02318,PGNFGNII_01750,PDCFMNHJ_03821
sdhE,sdhE,FAD assembly factor SdhE,39,39,1,1,6011,,,,267,267,267,COBAIANA_02223,NCDGGIKE_00591,KEJBGJNJ_02232,JELDIHCN_03305,PBHEHNGA_01066,DALMCLCA_03259,ONIJJAOC_03159,OLEGOONE_00172,CMJCGDBJ_01867,FDIPHMPI_03165,GAFMEKNJ_01293,JJCAEOCL_00119,FIMNDECN_01004,BOLFLKJN_01086,MONHGDDE_03317,HENDCIDF_03118,BGHDJHLL_03262,MLDDBGFK_00122,OBCFPDNM_03676,PDLMEAGH_00550,MIEBPKLG_02232,FAKIMOAG_02176,AAJLDHNL_00228,HFELHBKN_00232,FPIHAPOB_03446,PLNCNKBH_00147,IMMFCMMB_02333,BDMJLJKB_00595,MDDFFGJE_00555,ADGPNKPL_03208,MFAJDMJN_03267,HOGJFGMH_02492,BFJHMAPM_01325,JFGMPIEF_03190,DOHFHPBA_01465,OAICLECK_01963,HGGDPEND_01517,PGNFGNII_00917,PDCFMNHJ_01366
ybiI,ybiI,putative protein YbiI,39,39,1,1,6010,,,,267,267,267,COBAIANA_01919,NCDGGIKE_02589,KEJBGJNJ_00530,JELDIHCN_00428,PBHEHNGA_00029,DALMCLCA_00176,ONIJJAOC_02372,OLEGOONE_00704,CMJCGDBJ_03911,FDIPHMPI_01272,GAFMEKNJ_02383,JJCAEOCL_03402,FIMNDECN_00490,BOLFLKJN_00410,MONHGDDE_01957,HENDCIDF_00201,BGHDJHLL_02541,MLDDBGFK_03485,OBCFPDNM_00409,PDLMEAGH_02201,MIEBPKLG_00643,FAKIMOAG_00940,AAJLDHNL_01671,HFELHBKN_02910,FPIHAPOB_03267,PLNCNKBH_01881,IMMFCMMB_01452,BDMJLJKB_02942,MDDFFGJE_04034,ADGPNKPL_00640,MFAJDMJN_02439,HOGJFGMH_01122,BFJHMAPM_01630,JFGMPIEF_03816,DOHFHPBA_00821,OAICLECK_02345,HGGDPEND_02168,PGNFGNII_03481,PDCFMNHJ_03362
minE,minE,Cell division topological specificity factor,39,39,1,1,6008,,,,267,267,267,COBAIANA_00606,NCDGGIKE_01591,KEJBGJNJ_01234,JELDIHCN_02878,PBHEHNGA_02821,DALMCLCA_01971,ONIJJAOC_00561,OLEGOONE_00943,CMJCGDBJ_01355,FDIPHMPI_02203,GAFMEKNJ_01459,JJCAEOCL_04008,FIMNDECN_01921,BOLFLKJN_00222,MONHGDDE_00193,HENDCIDF_01938,BGHDJHLL_01872,MLDDBGFK_02475,OBCFPDNM_02687,PDLMEAGH_02747,MIEBPKLG_01348,FAKIMOAG_00528,AAJLDHNL_01382,23_refound_603,FPIHAPOB_00209,PLNCNKBH_02961,IMMFCMMB_00686,BDMJLJKB_02414,MDDFFGJE_01544,ADGPNKPL_02063,MFAJDMJN_01727,HOGJFGMH_00167,BFJHMAPM_02391,JFGMPIEF_01842,DOHFHPBA_02574,OAICLECK_00876,HGGDPEND_02991,PGNFGNII_02457,PDCFMNHJ_01989
rpsO,rpsO,30S ribosomal protein S15,39,39,1,1,5999,,,,270,270,270,COBAIANA_03902,NCDGGIKE_03480,KEJBGJNJ_02972,JELDIHCN_01074,PBHEHNGA_02637,DALMCLCA_00995,ONIJJAOC_01350,OLEGOONE_03372,8_refound_190,FDIPHMPI_00403,GAFMEKNJ_00332,JJCAEOCL_00721,FIMNDECN_02648,BOLFLKJN_03164,MONHGDDE_01012,HENDCIDF_00752,BGHDJHLL_00104,MLDDBGFK_02821,OBCFPDNM_01450,PDLMEAGH_01564,MIEBPKLG_02010,FAKIMOAG_01794,AAJLDHNL_02701,HFELHBKN_01665,FPIHAPOB_00651,PLNCNKBH_02036,IMMFCMMB_02950,BDMJLJKB_02565,MDDFFGJE_00372,ADGPNKPL_03460,MFAJDMJN_00104,HOGJFGMH_01810,BFJHMAPM_03406,JFGMPIEF_00524,DOHFHPBA_02239,OAICLECK_02621,HGGDPEND_03136,PGNFGNII_01613,PDCFMNHJ_01142
yihD,yihD,Protein YihD,39,39,1,1,5998,,,,270,270,270,COBAIANA_03486,NCDGGIKE_03862,KEJBGJNJ_03283,JELDIHCN_00756,PBHEHNGA_03211,DALMCLCA_02760,ONIJJAOC_03769,OLEGOONE_03532,CMJCGDBJ_02254,FDIPHMPI_03853,GAFMEKNJ_02592,JJCAEOCL_01961,FIMNDECN_02625,BOLFLKJN_03656,MONHGDDE_00661,HENDCIDF_04267,BGHDJHLL_00508,MLDDBGFK_04093,OBCFPDNM_04261,PDLMEAGH_02915,MIEBPKLG_04032,FAKIMOAG_02433,AAJLDHNL_03026,HFELHBKN_02888,FPIHAPOB_01746,PLNCNKBH_02125,IMMFCMMB_03936,BDMJLJKB_04024,MDDFFGJE_04002,ADGPNKPL_03978,MFAJDMJN_00508,HOGJFGMH_03115,BFJHMAPM_03999,JFGMPIEF_00470,DOHFHPBA_03147,OAICLECK_03547,HGGDPEND_00983,PGNFGNII_02565,PDCFMNHJ_02097
group_2806,,hypothetical protein,39,39,1,1,5997,,,,270,270,270,COBAIANA_03025,NCDGGIKE_00077,KEJBGJNJ_03513,JELDIHCN_03801,PBHEHNGA_02963,DALMCLCA_01272,ONIJJAOC_03937,OLEGOONE_01865,CMJCGDBJ_02913,FDIPHMPI_03670,GAFMEKNJ_01517,JJCAEOCL_01741,FIMNDECN_02277,BOLFLKJN_00734,MONHGDDE_00964,HENDCIDF_01273,BGHDJHLL_00895,MLDDBGFK_03250,OBCFPDNM_00959,PDLMEAGH_01186,MIEBPKLG_03335,FAKIMOAG_02629,AAJLDHNL_03195,HFELHBKN_01244,FPIHAPOB_02199,PLNCNKBH_02518,IMMFCMMB_04132,BDMJLJKB_03129,MDDFFGJE_02734,ADGPNKPL_02842,MFAJDMJN_00892,HOGJFGMH_03308,BFJHMAPM_01098,JFGMPIEF_00172,DOHFHPBA_03368,OAICLECK_02869,HGGDPEND_01204,PGNFGNII_02786,PDCFMNHJ_02318
fliQ,fliQ,Flagellar biosynthetic protein FliQ,39,39,1,1,5996,,,,270,270,270,COBAIANA_00415,NCDGGIKE_01383,KEJBGJNJ_01043,JELDIHCN_03069,PBHEHNGA_03677,DALMCLCA_01515,ONIJJAOC_00746,OLEGOONE_03577,CMJCGDBJ_03802,FDIPHMPI_02395,GAFMEKNJ_02971,JJCAEOCL_02467,FIMNDECN_01737,BOLFLKJN_03489,MONHGDDE_00384,HENDCIDF_02129,BGHDJHLL_01681,MLDDBGFK_02284,OBCFPDNM_02496,PDLMEAGH_02601,MIEBPKLG_01157,FAKIMOAG_03306,AAJLDHNL_01191,HFELHBKN_02737,FPIHAPOB_02025,PLNCNKBH_03625,IMMFCMMB_00495,BDMJLJKB_02223,MDDFFGJE_01353,ADGPNKPL_01872,MFAJDMJN_01918,HOGJFGMH_03965,BFJHMAPM_02200,JFGMPIEF_01657,DOHFHPBA_02383,OAICLECK_03325,HGGDPEND_02801,PGNFGNII_02266,PDCFMNHJ_01798
hupA,hupA,DNA-binding protein HU-alpha,39,39,1,1,5982,,,,273,273,273,COBAIANA_04120,NCDGGIKE_03585,KEJBGJNJ_04108,JELDIHCN_01850,PBHEHNGA_04025,DALMCLCA_00646,ONIJJAOC_01856,OLEGOONE_03921,CMJCGDBJ_04243,FDIPHMPI_00292,GAFMEKNJ_03731,JJCAEOCL_03881,FIMNDECN_04101,BOLFLKJN_03860,MONHGDDE_02236,HENDCIDF_02437,BGHDJHLL_02068,MLDDBGFK_04143,OBCFPDNM_02320,PDLMEAGH_03627,MIEBPKLG_04079,FAKIMOAG_04210,AAJLDHNL_04196,HFELHBKN_03312,FPIHAPOB_01706,PLNCNKBH_02838,IMMFCMMB_01131,BDMJLJKB_04159,MDDFFGJE_04333,ADGPNKPL_04063,MFAJDMJN_02092,HOGJFGMH_01526,BFJHMAPM_01158,JFGMPIEF_00102,DOHFHPBA_04127,OAICLECK_03982,HGGDPEND_04057,PGNFGNII_04024,PDCFMNHJ_03996
recF_2_recF_1,recF_2;recF_1,DNA replication and repair protein RecF,39,39,1,1,5978,,,,1659,1659,1659,COBAIANA_03350,NCDGGIKE_02516,KEJBGJNJ_00463,JELDIHCN_00361,PBHEHNGA_00468,DALMCLCA_04184,ONIJJAOC_02289,OLEGOONE_02272,CMJCGDBJ_03145,FDIPHMPI_01340,GAFMEKNJ_00983,JJCAEOCL_02912,FIMNDECN_02371,BOLFLKJN_02416,MONHGDDE_01890,HENDCIDF_00269,BGHDJHLL_02474,MLDDBGFK_02962,OBCFPDNM_00342,PDLMEAGH_00802,MIEBPKLG_00039,FAKIMOAG_01013,AAJLDHNL_01738,HFELHBKN_03013,FPIHAPOB_00120,PLNCNKBH_02225,IMMFCMMB_01556,BDMJLJKB_00039,MDDFFGJE_02149,ADGPNKPL_00039,MFAJDMJN_02507,HOGJFGMH_01051,BFJHMAPM_01563,JFGMPIEF_01044,DOHFHPBA_00754,OAICLECK_00004,HGGDPEND_00609,PGNFGNII_00754,PDCFMNHJ_00753
mqo,mqo,Malate:quinone oxidoreductase,39,39,1,1,5973,,,,1008,1659,1625.615385,COBAIANA_04184,NCDGGIKE_00009,KEJBGJNJ_03304,JELDIHCN_03619,PBHEHNGA_02155,DALMCLCA_02448,ONIJJAOC_01531,OLEGOONE_03984,CMJCGDBJ_03484,FDIPHMPI_00153,GAFMEKNJ_03628,JJCAEOCL_03547,FIMNDECN_03202,BOLFLKJN_02180,MONHGDDE_04032,HENDCIDF_04242,BGHDJHLL_04430,MLDDBGFK_04231,OBCFPDNM_03825,PDLMEAGH_01905,MIEBPKLG_02983,FAKIMOAG_03532,AAJLDHNL_03562,HFELHBKN_01063,FPIHAPOB_02860,PLNCNKBH_03158,IMMFCMMB_03915,BDMJLJKB_04227,MDDFFGJE_02359,ADGPNKPL_02633,MFAJDMJN_04256,HOGJFGMH_04193,BFJHMAPM_00637,JFGMPIEF_00652,DOHFHPBA_03505,OAICLECK_03000,HGGDPEND_03672,PGNFGNII_03170,PDCFMNHJ_03051
fabA,fabA,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase,39,39,1,1,5971,,,,501,519,518.5384615,COBAIANA_03287,NCDGGIKE_02453,KEJBGJNJ_00400,JELDIHCN_00298,PBHEHNGA_00531,DALMCLCA_04121,ONIJJAOC_02226,OLEGOONE_02209,CMJCGDBJ_01038,FDIPHMPI_01403,GAFMEKNJ_01046,JJCAEOCL_02110,FIMNDECN_02434,BOLFLKJN_02066,MONHGDDE_01827,HENDCIDF_00332,BGHDJHLL_02411,MLDDBGFK_03025,OBCFPDNM_00279,PDLMEAGH_00865,MIEBPKLG_00102,FAKIMOAG_01077,AAJLDHNL_01801,HFELHBKN_00908,FPIHAPOB_02842,PLNCNKBH_02298,IMMFCMMB_01619,BDMJLJKB_00102,MDDFFGJE_02212,ADGPNKPL_00102,MFAJDMJN_02570,HOGJFGMH_00988,BFJHMAPM_01500,JFGMPIEF_00981,DOHFHPBA_00691,OAICLECK_00067,HGGDPEND_00672,PGNFGNII_00691,PDCFMNHJ_00690
rpoZ,rpoZ,DNA-directed RNA polymerase subunit omega,39,39,1,1,5965,,,,276,276,276,COBAIANA_03445,NCDGGIKE_03818,KEJBGJNJ_03240,JELDIHCN_00714,PBHEHNGA_03169,DALMCLCA_01334,ONIJJAOC_03728,OLEGOONE_03491,CMJCGDBJ_03210,FDIPHMPI_03812,GAFMEKNJ_02551,JJCAEOCL_01920,FIMNDECN_02584,BOLFLKJN_03045,MONHGDDE_00704,HENDCIDF_04310,BGHDJHLL_00551,MLDDBGFK_03213,OBCFPDNM_04304,PDLMEAGH_02873,MIEBPKLG_03989,FAKIMOAG_02476,AAJLDHNL_02984,HFELHBKN_02016,FPIHAPOB_03915,PLNCNKBH_00812,IMMFCMMB_03978,BDMJLJKB_03111,MDDFFGJE_03959,ADGPNKPL_03935,MFAJDMJN_00551,HOGJFGMH_03157,BFJHMAPM_03956,JFGMPIEF_00429,DOHFHPBA_03189,OAICLECK_03505,HGGDPEND_01025,PGNFGNII_02607,PDCFMNHJ_02139
yggX,yggX,putative Fe(2+)-trafficking protein,39,39,1,1,5963,,,,276,276,276,COBAIANA_02323,NCDGGIKE_00481,KEJBGJNJ_02356,JELDIHCN_04002,PBHEHNGA_01167,DALMCLCA_03402,ONIJJAOC_03057,OLEGOONE_00272,CMJCGDBJ_01968,FDIPHMPI_03265,GAFMEKNJ_00085,JJCAEOCL_03698,FIMNDECN_01106,BOLFLKJN_03931,MONHGDDE_01602,HENDCIDF_01706,BGHDJHLL_01426,MLDDBGFK_00223,OBCFPDNM_02287,PDLMEAGH_00048,MIEBPKLG_02356,FAKIMOAG_02075,AAJLDHNL_00329,HFELHBKN_03170,FPIHAPOB_01629,PLNCNKBH_02616,IMMFCMMB_02208,BDMJLJKB_00696,MDDFFGJE_00679,ADGPNKPL_01585,MFAJDMJN_01439,HOGJFGMH_02592,BFJHMAPM_01201,JFGMPIEF_03292,DOHFHPBA_01566,OAICLECK_02107,HGGDPEND_01618,PGNFGNII_01018,PDCFMNHJ_01467
rpsS,rpsS,30S ribosomal protein S19,39,39,1,1,5954,,,,279,279,279,COBAIANA_02901,NCDGGIKE_00202,KEJBGJNJ_04168,JELDIHCN_01212,PBHEHNGA_04101,DALMCLCA_03497,ONIJJAOC_01914,OLEGOONE_01741,CMJCGDBJ_04215,FDIPHMPI_03542,GAFMEKNJ_03764,JJCAEOCL_01072,FIMNDECN_04157,BOLFLKJN_04005,MONHGDDE_02327,HENDCIDF_02509,BGHDJHLL_02132,MLDDBGFK_04195,OBCFPDNM_02409,PDLMEAGH_03714,MIEBPKLG_04132,FAKIMOAG_04296,AAJLDHNL_04255,HFELHBKN_03508,FPIHAPOB_02772,PLNCNKBH_03194,IMMFCMMB_01165,BDMJLJKB_04191,MDDFFGJE_04394,ADGPNKPL_04121,MFAJDMJN_02163,HOGJFGMH_01613,BFJHMAPM_03235,JFGMPIEF_00064,DOHFHPBA_04159,OAICLECK_04037,HGGDPEND_04089,PGNFGNII_04056,PDCFMNHJ_02447
group_2775,,hypothetical protein,39,39,1,1,5953,,,,279,279,279,COBAIANA_01293,NCDGGIKE_02267,KEJBGJNJ_00223,JELDIHCN_00121,PBHEHNGA_00708,DALMCLCA_03944,ONIJJAOC_02051,OLEGOONE_01417,CMJCGDBJ_02403,FDIPHMPI_01586,GAFMEKNJ_02074,JJCAEOCL_00374,FIMNDECN_03574,BOLFLKJN_01587,MONHGDDE_01304,HENDCIDF_00899,BGHDJHLL_00747,MLDDBGFK_01720,OBCFPDNM_00728,PDLMEAGH_01363,MIEBPKLG_00279,FAKIMOAG_01298,AAJLDHNL_02238,HFELHBKN_00493,FPIHAPOB_02598,PLNCNKBH_00679,IMMFCMMB_01796,BDMJLJKB_00279,MDDFFGJE_02673,ADGPNKPL_00279,MFAJDMJN_00743,HOGJFGMH_00773,BFJHMAPM_00434,JFGMPIEF_00806,DOHFHPBA_00514,OAICLECK_00244,HGGDPEND_00849,PGNFGNII_00514,PDCFMNHJ_00513
hypC,hypC,Hydrogenase maturation factor HypC,39,39,1,1,5952,,,,279,279,279,COBAIANA_01206,NCDGGIKE_02182,KEJBGJNJ_00135,JELDIHCN_00033,PBHEHNGA_00796,DALMCLCA_03856,ONIJJAOC_01964,OLEGOONE_03896,CMJCGDBJ_01734,FDIPHMPI_01671,GAFMEKNJ_03914,JJCAEOCL_00459,FIMNDECN_03310,BOLFLKJN_01497,MONHGDDE_01662,HENDCIDF_00987,BGHDJHLL_00835,MLDDBGFK_01808,OBCFPDNM_00640,PDLMEAGH_03880,MIEBPKLG_00367,FAKIMOAG_00004,AAJLDHNL_02150,HFELHBKN_02660,FPIHAPOB_03158,PLNCNKBH_01727,IMMFCMMB_01884,BDMJLJKB_00367,MDDFFGJE_02585,ADGPNKPL_00367,MFAJDMJN_00831,HOGJFGMH_00688,BFJHMAPM_00522,JFGMPIEF_00719,DOHFHPBA_00426,OAICLECK_00332,HGGDPEND_00937,PGNFGNII_00426,PDCFMNHJ_00425
group_2774,,hypothetical protein,39,39,1,1,5951,,,,279,279,279,COBAIANA_00085,NCDGGIKE_01092,KEJBGJNJ_01900,JELDIHCN_01362,PBHEHNGA_01926,DALMCLCA_00379,ONIJJAOC_01062,OLEGOONE_03693,CMJCGDBJ_03601,FDIPHMPI_02735,GAFMEKNJ_01149,JJCAEOCL_00575,FIMNDECN_00681,BOLFLKJN_04016,MONHGDDE_03800,HENDCIDF_00593,BGHDJHLL_03671,MLDDBGFK_00658,OBCFPDNM_04111,PDLMEAGH_01869,MIEBPKLG_02756,FAKIMOAG_03696,AAJLDHNL_00857,HFELHBKN_03563,FPIHAPOB_00204,PLNCNKBH_03293,IMMFCMMB_00211,BDMJLJKB_01770,MDDFFGJE_01770,ADGPNKPL_02289,MFAJDMJN_03541,HOGJFGMH_03045,BFJHMAPM_00094,JFGMPIEF_01375,DOHFHPBA_02845,OAICLECK_01694,HGGDPEND_01974,PGNFGNII_03052,PDCFMNHJ_02567
rplF,rplF,50S ribosomal protein L6,39,39,1,1,5948,,,,534,534,534,0_refound_3,1_refound_22,KEJBGJNJ_04179,JELDIHCN_01201,PBHEHNGA_04112,DALMCLCA_03508,ONIJJAOC_01903,7_refound_169,CMJCGDBJ_04226,FDIPHMPI_03531,GAFMEKNJ_03775,JJCAEOCL_01083,FIMNDECN_04168,BOLFLKJN_03994,MONHGDDE_02316,HENDCIDF_02498,BGHDJHLL_02143,MLDDBGFK_04206,OBCFPDNM_02420,PDLMEAGH_03725,MIEBPKLG_04143,FAKIMOAG_04285,AAJLDHNL_04244,HFELHBKN_03519,24_refound_672,25_refound_735,IMMFCMMB_01176,BDMJLJKB_04202,MDDFFGJE_04405,ADGPNKPL_04132,MFAJDMJN_02152,HOGJFGMH_01602,BFJHMAPM_03224,JFGMPIEF_00075,DOHFHPBA_04170,35_refound_1021,HGGDPEND_04100,37_refound_1086,PDCFMNHJ_02458
